metric,ante_mean,post_mean,diff_post_minus_ante_mean,diff_95ci_low,diff_95ci_high
roc_auc,0.7922199955617313,0.5827144088300573,-0.20940703047541456,-0.25252383622391966,-0.1622359594848589
pr_auc,0.4829795598048065,0.2777720217639436,-0.20507851361754628,-0.2766804602845381,-0.12774137557581947
