feature,ante_mean,post_mean,ante_median,post_median,cohens_d_post_minus_ante,mannwhitney_p
emotional_coping,5.037296037296038,5.38119911176906,5.0,5.333333333333333,0.3208051123928954,1.352325382681783e-17
anxious_attachment,41.93356643356643,52.09407665505226,38.0,49.0,0.5272579728258853,2.851819523291451e-15
adaptive_coping,5.968531468531468,5.853626943005182,6.0,6.0,-0.12175813360893371,0.00038728499503014975
maladaptive_coping,2.788811188811189,2.716506291635825,2.6666666666666665,2.6666666666666665,-0.09157529890260466,0.22820779870905428
age,32.67717717717718,32.9198606271777,33.0,33.0,0.045332135337292835,0.6224097693114647
