cohort,block,model,mode,roc_auc_mean,pr_auc_mean,brier_mean,recall_mean,precision_mean,f2_mean,thr_mean,folds,thr_policy_mode
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.7973669114708042,0.48996625336586075,0.12202274847372488,0.935514960284478,0.22759847331004754,0.5690805224431692,0.112,15,recall+precision
antepartum,FULL,LR,weighted,0.8013502766303625,0.48880653901614496,0.12272032979426543,0.9201176427471667,0.23424307072445222,0.5723756399142785,0.11733333333333333,15,recall+precision
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.7976269211012544,0.48818838521871755,0.12203866864854103,0.9327938718491039,0.2284582697785675,0.5693362132049853,0.11266666666666666,15,recall+precision
antepartum,FULL,LR,resampled,0.7999976391551022,0.4864576441404561,0.12216955224773529,0.92466330407241,0.23526766346882497,0.5760548296960407,0.11933333333333333,15,recall+precision
antepartum,FULL,RF,weighted,0.7852875906128621,0.47310953156169777,0.12190466114767008,0.9219966425200272,0.2272545743737786,0.5662337868113133,0.11,15,recall+precision
antepartum,FULL,XGB,weighted,0.767224490456341,0.4559752720778249,0.12010166389411772,0.9052672054194847,0.21741649159249288,0.5464152583446321,0.08800000000000001,15,recall+precision
antepartum,FULL,XGB,resampled,0.7682659094654706,0.45391671770649283,0.12028762872854754,0.8394665223024693,0.23868923794639174,0.5386241743244081,0.106,15,recall+precision
antepartum,FULL,SVM,weighted,0.785489406004078,0.43832709147779714,0.12243492227342813,0.8805740425718608,0.24283278650154297,0.56549222354934,0.11666666666666667,15,recall+precision
antepartum,FULL,RF,resampled,0.771850375303576,0.4355908348680334,0.1229521575493174,0.9063478969130045,0.2328062640473683,0.5645261682434891,0.11,15,recall+precision
antepartum,FULL,SVM,resampled,0.7681697888175409,0.3967551162741188,0.12184630516726387,0.9188041008112073,0.23139574734912124,0.5663650471415334,0.09266666666666666,15,recall+precision
